<L>10708<pc>397,1<k1>pariveda<k2>pariveda
<L>16089<pc>617,2<k1>veda<k2>veda
<L>7063<pc>261,2<k1>jarasva<k2>jarasva
<L>8388<pc>310,1<k1>dadasva<k2>dadasva
<L>9242<pc>340,1<k1>Datsva<k2>Datsva
<L>9358<pc>346,1<k1>Dizva<k2>Dizva
;
<L>2050<pc>068,2<k1>Agahi<k2>Agahi
<L>2265<pc>076,1<k1>Apnuhi<k2>Apnuhi
<L>2705<pc>091,2<k1>ihi<k2>ihi
<L>3644<pc>127,2<k1>ehi<k2>ehi
<L>7118<pc>264,1<k1>jahi<k2>jahi
<L>7120<pc>264,1<k1>jahihi<k2>jahihi
<L>7172<pc>266,1<k1>jAnIhi<k2>jAnIhi
<L>8992<pc>331,2<k1>dehi<k2>dehi
<L>9366<pc>346,1<k1>DImahi<k2>DImahi
<L>9431<pc>348,2<k1>Dehi<k2>Dehi
<L>9459<pc>349,1<k1>DyAhi<k2>DyAhi
<L>13372<pc>507,1<k1>mimIhi<k2>mimIhi
